Hex_ID,Depth_m
70172,0
70219,0
70220,0
70221,0
72644,0
72645,0
72646,0
72647,0
72648,0
72649,0
72650,0
72651,0
72652,0
72653,0
72658,-0.694647134
72659,-9.532944864
72660,-18.57602777
72661,-18.61855308
72662,-18.27586469
72663,-17.99973039
72664,-18.04642637
72665,-18.26866165
72666,-17.72334958
72667,-16.90676687
72668,-16.15498136
72669,-15.87920401
72670,-16.13981949
72671,-15.69411298
72672,-15.58155357
72673,-15.39668695
72674,-15.33331291
72675,-15.68212883
72676,-15.78954088
72677,-15.67083184
72678,-15.63519216
72679,-15.54246061
72680,-15.50931612
72681,-15.55786548
72682,-15.67682334
72683,-15.71004108
72684,-15.31976141
72685,-15.13655166
72686,-15.00645728
72687,-14.93071539
72688,-14.83215513
72689,-14.59363364
72690,-14.08605881
72691,-13.56251751
72692,-13.07187071
72693,-12.65315441
72694,-12.25995283
72695,-11.79518004
72696,-11.00189241
72697,-9.894506516
72698,-9.572311647
72699,-8.991773827
72700,-8.623865469
72701,-8.43935929
72702,-8.367495071
72703,-8.335602251
72704,-8.256994258
72705,-7.969385069
72706,-7.75816366
72707,-7.599351842
72708,-7.505348277
72709,-7.359753676
72710,-6.649766199
72711,-6.434131105
72712,-5.879325435
72713,-5.178865865
72714,-4.351730305
72715,-3.516937365
72716,-3.237914571
72717,-3.51211295
72718,-3.278791727
72719,-3.305792113
72720,-3.016333038
72721,-2.672161604
72722,-2.245394048
72723,-1.667122078
72724,-1.315145306
72725,-1.51868608
72726,-1.4782775
72727,-0.285906313
72728,0
72729,-0.000184961
72730,-0.041295404
72731,-0.211069893
72732,-0.609299946
72733,-1.283860588
72734,-1.795929041
72735,-2.099814562
72736,-2.197606268
72737,-2.210147653
72738,-2.17401294
72739,-2.098594869
72740,-2.002862341
72741,-1.896810674
72742,-1.784567962
72743,-1.679474667
72744,-1.547984001
72745,-1.218006323
72746,-0.958907312
72747,-0.675334287
72748,-0.404146516
72749,-0.187605845
72750,-0.062118274
72751,-0.005425191
72752,0
72753,0
72797,0
72798,0
72799,0
72800,0
72805,0
72806,0
72807,0
75220,0
75221,0
75222,0
75223,0
75224,0
75225,0
75226,0
75227,0
75228,0
75229,0
75230,0
75231,0
75232,0
75233,0
75234,-0.357436576
75235,-1.775496858
75236,-3.072670006
75237,-7.780973895
75238,-17.21543524
75239,-18.32354899
75240,-17.89900863
75241,-17.49556232
75242,-17.29718025
75243,-17.34784692
75244,-16.77993275
75245,-16.24444218
75246,-15.55229373
75247,-14.9392765
75248,-15.1870323
75249,-14.50974225
75250,-14.40075006
75251,-14.20369232
75252,-14.06713206
75253,-14.3916576
75254,-14.74606387
75255,-14.83109356
75256,-14.89127129
75257,-14.90654594
75258,-14.88719247
75259,-14.90283453
75260,-15.00565268
75261,-15.33204787
75262,-15.03639034
75263,-15.00226451
75264,-14.94396226
75265,-14.91539539
75266,-14.91255603
75267,-14.9878619
75268,-14.53616389
75269,-14.0103518
75270,-13.5909681
75271,-13.24528571
75272,-12.97939264
75273,-12.75664926
75274,-12.42551598
75275,-11.13781435
75276,-10.90286241
75277,-10.15026183
75278,-9.559567657
75279,-9.13615106
75280,-8.832475992
75281,-8.608365253
75282,-8.408987306
75283,-8.290131189
75284,-8.128695694
75285,-7.998772229
75286,-7.921284517
75287,-7.836468764
75288,-7.568584534
75289,-7.214475334
75290,-6.740997258
75291,-6.260217883
75292,-5.705100023
75293,-4.820098228
75294,-3.752167484
75295,-3.904384937
75296,-4.055321654
75297,-4.130171445
75298,-3.772234573
75299,-3.453608963
75300,-3.04443016
75301,-2.386720887
75302,-1.803581627
75303,-1.938524407
75304,-2.005779314
75305,-0.976779259
75306,-4.24995E-05
75309,0
75310,0
75311,-0.030702966
75312,-0.323080316
75313,-0.876812614
75314,-1.506610945
75315,-2.144428263
75316,-2.371583584
75317,-2.292040765
75318,-2.182292958
75319,-2.04917245
75320,-1.910385136
